0.5	0	1
0.5	0.0125	0.9875
0.5	0.025	0.975
0.5	0.0375	0.9625
0.5	0.05	0.95
0.5	0.0625	0.9375
0.5	0.075	0.925
0.5	0.0875	0.9125
0.5	0.1	0.9
0.5	0.1125	0.8875
0.5	0.125	0.875
0.5	0.1375	0.8625
0.5	0.15	0.85
0.5	0.1625	0.8375
0.5	0.175	0.825
0.5	0.1875	0.8125
0.5	0.2	0.8
0.5	0.2125	0.7875
0.5	0.225	0.775
0.5	0.2375	0.7625
0.5	0.25	0.75
0.5	0.2625	0.7375
0.5	0.275	0.725
0.5	0.2875	0.7125
0.5	0.3	0.7
0.5	0.3125	0.6875
0.5	0.325	0.675
0.5	0.3375	0.6625
0.5	0.35	0.65
0.5	0.3625	0.6375
0.5	0.375	0.625
0.5	0.3875	0.6125
0.5	0.4	0.6
0.5	0.4125	0.5875
0.5	0.425	0.575
0.5	0.4375	0.5625
0.5	0.45	0.55
0.5	0.4625	0.5375
0.5	0.475	0.525
0.5	0.4875	0.5125
0.5	0.5	0.5
0.489795918367347	0.489795918367347	0.489795918367347
0.479591836734694	0.479591836734694	0.479591836734694
0.469387755102041	0.469387755102041	0.469387755102041
0.459183673469388	0.459183673469388	0.459183673469388
0.448979591836735	0.448979591836735	0.448979591836735
0.438775510204082	0.438775510204082	0.438775510204082
0.428571428571429	0.428571428571429	0.428571428571429
0.418367346938776	0.418367346938776	0.418367346938776
0.408163265306122	0.408163265306122	0.408163265306122
0.397959183673469	0.397959183673469	0.397959183673469
0.387755102040816	0.387755102040816	0.387755102040816
0.377551020408163	0.377551020408163	0.377551020408163
0.36734693877551	0.36734693877551	0.36734693877551
0.357142857142857	0.357142857142857	0.357142857142857
0.346938775510204	0.346938775510204	0.346938775510204
0.336734693877551	0.336734693877551	0.336734693877551
0.326530612244898	0.326530612244898	0.326530612244898
0.316326530612245	0.316326530612245	0.316326530612245
0.306122448979592	0.306122448979592	0.306122448979592
0.295918367346939	0.295918367346939	0.295918367346939
0.285714285714286	0.285714285714286	0.285714285714286
0.275510204081633	0.275510204081633	0.275510204081633
0.26530612244898	0.26530612244898	0.26530612244898
0.255102040816327	0.255102040816327	0.255102040816327
0.244897959183673	0.244897959183673	0.244897959183673
0.23469387755102	0.23469387755102	0.23469387755102
0.224489795918367	0.224489795918367	0.224489795918367
0.214285714285714	0.214285714285714	0.214285714285714
0.204081632653061	0.204081632653061	0.204081632653061
0.193877551020408	0.193877551020408	0.193877551020408
0.183673469387755	0.183673469387755	0.183673469387755
0.173469387755102	0.173469387755102	0.173469387755102
0.163265306122449	0.163265306122449	0.163265306122449
0.153061224489796	0.153061224489796	0.153061224489796
0.142857142857143	0.142857142857143	0.142857142857143
0.13265306122449	0.13265306122449	0.13265306122449
0.122448979591837	0.122448979591837	0.122448979591837
0.112244897959184	0.112244897959184	0.112244897959184
0.102040816326531	0.102040816326531	0.102040816326531
0.091836734693878	0.091836734693878	0.091836734693878
0.081632653061225	0.081632653061225	0.081632653061225
0.071428571428572	0.071428571428572	0.071428571428572
0.061224489795918	0.061224489795918	0.061224489795918
0.051020408163265	0.051020408163265	0.051020408163265
0.040816326530612	0.040816326530612	0.040816326530612
0.030612244897959	0.030612244897959	0.030612244897959
0.020408163265306	0.020408163265306	0.020408163265306
0.010204081632653	0.010204081632653	0.010204081632653
0	0	0
0.017543859649123	0	0
0.035087719298246	0	0
0.052631578947369	0	0
0.070175438596491	0	0
0.087719298245614	0	0
0.105263157894737	0	0
0.12280701754386	0	0
0.140350877192982	0	0
0.157894736842105	0	0
0.175438596491228	0	0
0.192982456140351	0	0
0.210526315789474	0	0
0.228070175438596	0	0
0.245614035087719	0	0
0.263157894736842	0	0
0.280701754385965	0	0
0.298245614035088	0	0
0.31578947368421	0	0
0.333333333333333	0	0
0.350877192982456	0	0
0.368421052631579	0	0
0.385964912280702	0	0
0.403508771929825	0	0
0.421052631578947	0	0
0.43859649122807	0	0
0.456140350877193	0	0
0.473684210526316	0	0
0.491228070175439	0	0
0.508771929824561	0	0
0.526315789473684	0	0
0.543859649122807	0	0
0.56140350877193	0	0
0.578947368421053	0	0
0.596491228070175	0	0
0.614035087719298	0	0
0.631578947368421	0	0
0.649122807017544	0	0
0.666666666666667	0	0
0.68421052631579	0	0
0.701754385964912	0	0
0.719298245614035	0	0
0.736842105263158	0	0
0.754385964912281	0	0
0.771929824561403	0	0
0.789473684210526	0	0
0.807017543859649	0	0
0.824561403508772	0	0
0.842105263157895	0	0
0.859649122807017	0	0
0.87719298245614	0	0
0.894736842105263	0	0
0.912280701754386	0	0
0.929824561403509	0	0
0.947368421052632	0	0
0.964912280701754	0	0
0.982456140350877	0	0
1	0	0
1	0.0125	0.0125
1	0.025	0.025
1	0.0375	0.0375
1	0.05	0.05
1	0.0625	0.0625
1	0.075	0.075
1	0.0875	0.0875
1	0.1	0.1
1	0.1125	0.1125
1	0.125	0.125
1	0.1375	0.1375
1	0.15	0.15
1	0.1625	0.1625
1	0.175	0.175
1	0.1875	0.1875
1	0.2	0.2
1	0.2125	0.2125
1	0.225	0.225
1	0.2375	0.2375
1	0.25	0.25
0.985714285714286	0.257142857142857	0.257142857142857
0.971428571428571	0.264285714285714	0.264285714285714
0.957142857142857	0.271428571428571	0.271428571428571
0.942857142857143	0.278571428571429	0.278571428571429
0.928571428571429	0.285714285714286	0.285714285714286
0.914285714285714	0.292857142857143	0.292857142857143
0.9	0.3	0.3
0.885714285714286	0.307142857142857	0.307142857142857
0.871428571428571	0.314285714285714	0.314285714285714
